record_range,primary_reason,secondary_reason,source_row_count,source_row_denominator,rate,denominator_scope,unique_observation_count,unique_segment_count,mean_reasons_per_observation,mean_reasons_per_segment,source_column_active_rate,exact_neuron_active_rate,previous_winners_membership_rate,predicted_membership_rate,burst_membership_rate
0-49,SOURCE_COLUMN_ACTIVE_WRONG_NEURON,,1768,210225,0.008410036865263409,pre_observation_source_synapse_rows_in_selected_scope,537,729,3.292364990689013,2.4252400548696844,1.0,0.0,0.0,0.0,0.0
0-49,SOURCE_COLUMN_NOT_ACTIVE,,159638,210225,0.7593673445118325,pre_observation_source_synapse_rows_in_selected_scope,1041,1975,153.35062439961575,80.8293670886076,0.0,0.0,0.0,0.0,0.0
0-49,SOURCE_EXACT_CELL_MATCHED,,11371,210225,0.05408966583422523,pre_observation_source_synapse_rows_in_selected_scope,832,1113,13.667067307692308,10.216531895777178,1.0,1.0,0.5667927183185296,0.02242546829654384,0.9775745317034562
0-49,SOURCE_IN_CONTEXT_ARRIVAL_TOO_EARLY,source_time_plus_delay_before_matching_window,18207,210225,0.08660720656439529,pre_observation_source_synapse_rows_in_selected_scope,928,1562,19.619612068965516,11.656209987195902,1.0,1.0,0.42132146976437634,0.05162849453506893,0.9483715054649311
0-49,SOURCE_IN_CONTEXT_DELAY_NOT_ARRIVED,source_time_plus_delay_after_matching_window,19241,210225,0.0915257462242835,pre_observation_source_synapse_rows_in_selected_scope,991,1638,19.41574167507568,11.746642246642246,1.0,1.0,0.43713944181695336,0.004989345668104568,0.9950106543318954
