model,elements,mean_moving_accuracy,std_moving_accuracy,source
HTM,747,0.0943820224719101,0.049027919616340294,Cui et al. [58] processed result
HTM,755,0.0933333333333333,0.04848316495393651,Cui et al. [58] processed result
HTM,763,0.0934065934065934,0.05017780244760823,Cui et al. [58] processed result
HTM,771,0.09347826086956522,0.05194697019716748,Cui et al. [58] processed result
HTM,780,0.0946236559139785,0.05457452705569686,Cui et al. [58] processed result
HTM,789,0.09468085106382979,0.05495996320463613,Cui et al. [58] processed result
HTM,798,0.09473684210526315,0.05550074242721712,Cui et al. [58] processed result
HTM,806,0.09374999999999999,0.054922609693600286,Cui et al. [58] processed result
HTM,814,0.09278350515463915,0.05435639722253223,Cui et al. [58] processed result
HTM,822,0.09285714285714286,0.052120786894376055,Cui et al. [58] processed result
HTM,831,0.09494949494949496,0.05405692185963496,Cui et al. [58] processed result
HTM,840,0.094,0.0535163526410386,Cui et al. [58] processed result
HTM,849,0.09405940594059406,0.053364407834502435,Cui et al. [58] processed result
HTM,857,0.09405940594059406,0.053364407834502435,Cui et al. [58] processed result
HTM,865,0.09207920792079208,0.053511164819293695,Cui et al. [58] processed result
HTM,874,0.09207920792079208,0.053327655483149425,Cui et al. [58] processed result
HTM,882,0.09405940594059406,0.052995737390386675,Cui et al. [58] processed result
HTM,891,0.09702970297029703,0.0557980309053678,Cui et al. [58] processed result
HTM,900,0.09702970297029703,0.0557980309053678,Cui et al. [58] processed result
HTM,908,0.09603960396039604,0.056017208553725294,Cui et al. [58] processed result
HTM,917,0.09504950495049505,0.05656576973103248,Cui et al. [58] processed result
HTM,925,0.09405940594059409,0.05354779121976221,Cui et al. [58] processed result
HTM,933,0.09405940594059409,0.05354779121976221,Cui et al. [58] processed result
HTM,941,0.0930693069306931,0.05148514851485148,Cui et al. [58] processed result
HTM,949,0.09009900990099012,0.049987744797482525,Cui et al. [58] processed result
HTM,957,0.09108910891089109,0.04660832592451414,Cui et al. [58] processed result
HTM,966,0.09207920792079208,0.048109032131708286,Cui et al. [58] processed result
HTM,975,0.09306930693069305,0.047730577398787916,Cui et al. [58] processed result
HTM,983,0.09207920792079206,0.04911729407846519,Cui et al. [58] processed result
HTM,992,0.09207920792079206,0.04911729407846519,Cui et al. [58] processed result
HTM,1000,0.09405940594059405,0.047945742624963365,Cui et al. [58] processed result
HTM,1008,0.09306930693069305,0.049544538626521986,Cui et al. [58] processed result
HTM,1016,0.09306930693069305,0.049544538626521986,Cui et al. [58] processed result
HTM,1024,0.09108910891089107,0.0498601121267888,Cui et al. [58] processed result
HTM,1033,0.09207920792079206,0.05126571669702819,Cui et al. [58] processed result
HTM,1042,0.09207920792079206,0.05126571669702819,Cui et al. [58] processed result
HTM,1051,0.09306930693069305,0.052801154954350026,Cui et al. [58] processed result
HTM,1059,0.09108910891089109,0.05383080086759677,Cui et al. [58] processed result
