trajectory_kind,trajectory_loss_primary_reason,numerator,denominator,rate,bootstrap_low_95,bootstrap_high_95,bootstrap_unit
actual_observation,CROSSING_INVALID_TIME,7,3276,0.002136752136752137,0.0006327111673521037,0.003881755747984473,actual_record-observed_column-segment cluster
actual_observation,EMITTED_NOT_PROPAGATED,1831,3276,0.5589133089133089,0.518380062305296,0.6004045073678128,actual_record-observed_column-segment cluster
actual_observation,NEVER_REACTIVATED_AFTER_CREATION,1438,3276,0.43894993894993894,0.39389404369949116,0.48414442700156984,actual_record-observed_column-segment cluster
autonomous_rollout,CROSSING_INVALID_TIME,60,3276,0.018315018315018316,0.012703101920236336,0.02394841879029782,actual_record-observed_column-segment cluster
autonomous_rollout,LOST_BEFORE_CURRENT_TRANSITION,2851,3276,0.8702686202686203,0.8436732186732187,0.8944229048613183,actual_record-observed_column-segment cluster
autonomous_rollout,LOST_INTERCOLUMN,241,3276,0.07356532356532357,0.06130030959752322,0.0860280658938377,actual_record-observed_column-segment cluster
autonomous_rollout,NEVER_REACTIVATED_AFTER_CREATION,124,3276,0.03785103785103785,0.020347097546379412,0.05536547433903577,actual_record-observed_column-segment cluster
