poems,title,author,goal_based,contextual,contextual_single,goal_line,contextual_line,feedback_character
1000,复合记忆试验0095,synthetic-stress,0,14,14,0,3,0
1000,复合记忆试验0096,synthetic-stress,0,15,14,0,3,0
1000,复合记忆试验0097,synthetic-stress,0,14,15,0,3,0
1000,复合记忆试验0098,synthetic-stress,0,15,15,0,3,0
1000,复合记忆试验0099,synthetic-stress,0,14,15,0,3,0
1000,复合记忆试验0100,synthetic-stress,0,15,11,0,3,0
1000,复合记忆试验0101,synthetic-stress,0,15,15,0,3,0
1000,复合记忆试验0102,synthetic-stress,0,15,15,0,3,0
1000,复合记忆试验0103,synthetic-stress,0,15,15,0,3,0
1000,复合记忆试验0104,synthetic-stress,0,15,14,0,3,0
1000,复合记忆试验0105,synthetic-stress,0,15,15,0,3,0
1000,复合记忆试验0106,synthetic-stress,0,15,15,0,3,0
1000,复合记忆试验0107,synthetic-stress,0,15,15,0,3,0
1000,复合记忆试验0108,synthetic-stress,0,14,14,0,3,0
1000,复合记忆试验0109,synthetic-stress,0,15,15,0,3,0
1000,复合记忆试验0110,synthetic-stress,0,14,15,0,3,0
1000,复合记忆试验0111,synthetic-stress,0,14,13,0,3,0
1000,复合记忆试验0112,synthetic-stress,0,14,15,0,3,0
1000,复合记忆试验0113,synthetic-stress,0,14,14,0,3,0
1000,复合记忆试验0114,synthetic-stress,0,15,14,0,3,0
1000,复合记忆试验0115,synthetic-stress,0,14,13,0,3,0
1000,复合记忆试验0116,synthetic-stress,0,15,15,0,3,0
1000,复合记忆试验0117,synthetic-stress,0,15,15,0,3,0
1000,复合记忆试验0118,synthetic-stress,0,15,15,0,3,0
1000,复合记忆试验0119,synthetic-stress,0,15,15,0,3,0
1000,复合记忆试验0120,synthetic-stress,0,15,14,0,3,0
1000,复合记忆试验0121,synthetic-stress,0,15,15,0,3,0
1000,复合记忆试验0122,synthetic-stress,0,14,15,0,3,0
1000,复合记忆试验0123,synthetic-stress,0,15,15,0,3,0
1000,复合记忆试验0124,synthetic-stress,0,15,14,0,3,0
1000,复合记忆试验0125,synthetic-stress,0,15,15,0,3,0
1000,复合记忆试验0126,synthetic-stress,0,15,14,0,3,0
1000,复合记忆试验0127,synthetic-stress,0,15,15,0,3,0
1000,复合记忆试验0128,synthetic-stress,0,14,15,0,3,0
1000,复合记忆试验0129,synthetic-stress,0,15,15,0,3,0
1000,复合记忆试验0130,synthetic-stress,0,15,15,0,3,0
1000,复合记忆试验0131,synthetic-stress,0,13,15,0,3,0
1000,复合记忆试验0132,synthetic-stress,0,15,15,0,3,0
1000,复合记忆试验0133,synthetic-stress,0,15,15,0,3,0
1000,复合记忆试验0134,synthetic-stress,0,15,15,0,3,0
1000,复合记忆试验0135,synthetic-stress,0,14,15,0,3,0
1000,复合记忆试验0136,synthetic-stress,0,15,15,0,3,0
1000,复合记忆试验0137,synthetic-stress,0,15,15,0,3,0
1000,复合记忆试验0138,synthetic-stress,0,15,15,0,3,0
1000,复合记忆试验0139,synthetic-stress,0,15,15,0,3,0
1000,复合记忆试验0140,synthetic-stress,0,15,13,0,3,0
1000,复合记忆试验0141,synthetic-stress,0,15,14,0,3,0
1000,复合记忆试验0142,synthetic-stress,0,15,15,0,3,0
1000,复合记忆试验0143,synthetic-stress,0,14,14,0,3,0
1000,复合记忆试验0144,synthetic-stress,0,15,14,0,3,0
1000,复合记忆试验0145,synthetic-stress,0,15,15,0,3,0
1000,复合记忆试验0146,synthetic-stress,0,14,14,0,3,0
1000,复合记忆试验0147,synthetic-stress,0,15,14,0,3,0
1000,复合记忆试验0148,synthetic-stress,0,15,15,0,3,0
1000,复合记忆试验0149,synthetic-stress,0,15,15,0,3,0
1000,复合记忆试验0150,synthetic-stress,0,15,15,0,3,0
1000,复合记忆试验0151,synthetic-stress,0,15,14,0,3,0
1000,复合记忆试验0152,synthetic-stress,0,15,14,0,3,0
1000,复合记忆试验0153,synthetic-stress,0,15,15,0,3,0
1000,复合记忆试验0154,synthetic-stress,0,15,14,0,3,0
1000,复合记忆试验0155,synthetic-stress,0,15,15,0,3,0
1000,复合记忆试验0156,synthetic-stress,0,15,15,0,3,0
1000,复合记忆试验0157,synthetic-stress,0,15,15,0,3,0
1000,复合记忆试验0158,synthetic-stress,0,15,14,0,3,0
1000,复合记忆试验0159,synthetic-stress,0,15,14,0,3,0
1000,复合记忆试验0160,synthetic-stress,0,14,15,0,3,0
1000,复合记忆试验0161,synthetic-stress,0,15,15,0,3,0
1000,复合记忆试验0162,synthetic-stress,0,15,14,0,3,0
1000,复合记忆试验0163,synthetic-stress,0,15,15,0,3,0
1000,复合记忆试验0164,synthetic-stress,0,14,15,0,3,0
1000,复合记忆试验0165,synthetic-stress,0,15,14,0,3,0
1000,复合记忆试验0166,synthetic-stress,0,14,15,0,3,0
1000,复合记忆试验0167,synthetic-stress,0,15,14,0,3,0
1000,复合记忆试验0168,synthetic-stress,0,15,15,0,3,0
1000,复合记忆试验0169,synthetic-stress,0,14,14,0,3,0
1000,复合记忆试验0170,synthetic-stress,0,14,14,0,3,0
1000,复合记忆试验0171,synthetic-stress,0,14,14,0,3,0
1000,复合记忆试验0172,synthetic-stress,0,15,14,0,3,0
1000,复合记忆试验0173,synthetic-stress,0,15,15,0,3,0
1000,复合记忆试验0174,synthetic-stress,0,14,14,0,3,0
1000,复合记忆试验0175,synthetic-stress,0,15,15,0,3,0
1000,复合记忆试验0176,synthetic-stress,0,15,15,0,3,0
1000,复合记忆试验0177,synthetic-stress,0,15,14,0,3,0
1000,复合记忆试验0178,synthetic-stress,0,15,14,0,3,0
1000,复合记忆试验0179,synthetic-stress,0,15,13,0,3,0
1000,复合记忆试验0180,synthetic-stress,0,15,15,0,3,0
1000,复合记忆试验0181,synthetic-stress,0,15,15,0,3,0
1000,复合记忆试验0182,synthetic-stress,0,15,14,0,3,0
1000,复合记忆试验0183,synthetic-stress,0,15,15,0,3,0
1000,复合记忆试验0184,synthetic-stress,0,14,14,0,3,0
1000,复合记忆试验0185,synthetic-stress,0,15,15,0,3,0
1000,复合记忆试验0186,synthetic-stress,0,15,15,0,3,0
1000,复合记忆试验0187,synthetic-stress,0,15,14,0,3,0
1000,复合记忆试验0188,synthetic-stress,0,13,13,0,3,0
1000,复合记忆试验0189,synthetic-stress,0,15,15,0,3,0
1000,复合记忆试验0190,synthetic-stress,0,15,15,0,3,0
1000,复合记忆试验0191,synthetic-stress,0,15,15,0,3,0
1000,复合记忆试验0192,synthetic-stress,0,14,15,0,3,0
1000,复合记忆试验0193,synthetic-stress,0,14,15,0,3,0
1000,复合记忆试验0194,synthetic-stress,0,15,13,0,3,0
1000,复合记忆试验0195,synthetic-stress,0,14,15,0,3,0
1000,复合记忆试验0196,synthetic-stress,0,15,15,0,3,0
1000,复合记忆试验0197,synthetic-stress,0,15,15,0,3,0
1000,复合记忆试验0198,synthetic-stress,0,13,15,0,3,0
1000,复合记忆试验0199,synthetic-stress,0,15,15,0,3,0
1000,复合记忆试验0200,synthetic-stress,0,15,14,0,3,0
1000,复合记忆试验0201,synthetic-stress,0,15,15,0,3,0
1000,复合记忆试验0202,synthetic-stress,0,15,15,0,3,0
1000,复合记忆试验0203,synthetic-stress,0,15,14,0,3,0
1000,复合记忆试验0204,synthetic-stress,0,14,15,0,3,0
1000,复合记忆试验0205,synthetic-stress,0,15,14,0,3,0
1000,复合记忆试验0206,synthetic-stress,0,13,15,0,3,0
1000,复合记忆试验0207,synthetic-stress,0,14,15,0,3,0
1000,复合记忆试验0208,synthetic-stress,0,12,15,0,3,0
1000,复合记忆试验0209,synthetic-stress,0,15,15,0,3,0
1000,复合记忆试验0210,synthetic-stress,0,15,15,0,3,0
1000,复合记忆试验0211,synthetic-stress,0,15,15,0,3,0
1000,复合记忆试验0212,synthetic-stress,0,14,14,0,3,0
1000,复合记忆试验0213,synthetic-stress,0,14,14,0,3,0
1000,复合记忆试验0214,synthetic-stress,0,14,13,0,3,0
1000,复合记忆试验0215,synthetic-stress,0,15,14,0,3,0
1000,复合记忆试验0216,synthetic-stress,0,14,15,0,3,0
1000,复合记忆试验0217,synthetic-stress,0,13,15,0,3,0
1000,复合记忆试验0218,synthetic-stress,0,14,15,0,3,0
1000,复合记忆试验0219,synthetic-stress,0,15,15,0,3,0
1000,复合记忆试验0220,synthetic-stress,0,14,15,0,3,0
1000,复合记忆试验0221,synthetic-stress,0,14,15,0,3,0
1000,复合记忆试验0222,synthetic-stress,0,15,15,0,3,0
1000,复合记忆试验0223,synthetic-stress,0,15,15,0,3,0
1000,复合记忆试验0224,synthetic-stress,0,15,14,0,3,0
1000,复合记忆试验0225,synthetic-stress,0,14,15,0,3,0
1000,复合记忆试验0226,synthetic-stress,0,15,15,0,3,0
1000,复合记忆试验0227,synthetic-stress,0,15,14,0,3,0
1000,复合记忆试验0228,synthetic-stress,0,15,15,0,3,0
1000,复合记忆试验0229,synthetic-stress,0,13,15,0,3,0
1000,复合记忆试验0230,synthetic-stress,0,15,14,0,3,0
1000,复合记忆试验0231,synthetic-stress,0,15,15,0,3,0
1000,复合记忆试验0232,synthetic-stress,0,15,15,0,3,0
1000,复合记忆试验0233,synthetic-stress,0,15,15,0,3,0
1000,复合记忆试验0234,synthetic-stress,0,15,15,0,3,0
1000,复合记忆试验0235,synthetic-stress,0,14,14,0,3,0
1000,复合记忆试验0236,synthetic-stress,0,14,15,0,3,0
