artifact,anchor_semantics,window_name,start_index,end_index_exclusive,start_timestamp,end_timestamp,n,training_records_seen_at_start,training_records_seen_at_end,standard_mape,repo_metric,wape,coverage_within_artifact
C:\Users\苒苒\Documents\TorF_reproduction\results\fig9_diagnostics\lmatch_stack_500_completion_20260810_resume2\500\STRICT_RAW_L4\original_predictions.csv,predict_before_observe,block_100_1,0,100,2014-07-05 06:30:00,2014-07-07 08:00:00,100,200,299,1.2898278180542209,0.6469280827536475,0.6469280827536475,0.3389830508474576
C:\Users\苒苒\Documents\TorF_reproduction\results\fig9_diagnostics\lmatch_stack_500_completion_20260810_resume2\500\STRICT_RAW_L4\original_predictions.csv,predict_before_observe,block_100_2,100,200,2014-07-07 08:30:00,2014-07-09 10:00:00,100,300,399,1.0337276607287145,0.4940651075591594,0.4940651075591594,0.3389830508474576
C:\Users\苒苒\Documents\TorF_reproduction\results\fig9_strict\diagnostic_500_20260727_205411\original_predictions.csv,predict_before_observe,full,0,295,2014-07-05 06:30:00,2014-07-11 09:30:00,295,200,494,1.0872846746640348,0.5392795787736315,0.5392795787736315,1.0
C:\Users\苒苒\Documents\TorF_reproduction\results\fig9_strict\diagnostic_500_20260727_205411\original_predictions.csv,predict_before_observe,first_25,0,73,2014-07-05 06:30:00,2014-07-06 18:30:00,73,200,272,0.9600334655607813,0.5649846244637381,0.5649846244637381,0.24745762711864408
C:\Users\苒苒\Documents\TorF_reproduction\results\fig9_strict\diagnostic_500_20260727_205411\original_predictions.csv,predict_before_observe,second_25,73,147,2014-07-06 19:00:00,2014-07-08 07:30:00,74,273,346,1.58833264275555,0.6353754339683687,0.6353754339683687,0.25084745762711863
C:\Users\苒苒\Documents\TorF_reproduction\results\fig9_strict\diagnostic_500_20260727_205411\original_predictions.csv,predict_before_observe,third_25,147,221,2014-07-08 08:00:00,2014-07-09 20:30:00,74,347,420,0.7233213210407297,0.4555278036006577,0.4555278036006577,0.25084745762711863
C:\Users\苒苒\Documents\TorF_reproduction\results\fig9_strict\diagnostic_500_20260727_205411\original_predictions.csv,predict_before_observe,final_25,221,295,2014-07-09 21:00:00,2014-07-11 09:30:00,74,421,494,1.0757316583652503,0.5369790564367073,0.5369790564367073,0.25084745762711863
C:\Users\苒苒\Documents\TorF_reproduction\results\fig9_strict\diagnostic_500_20260727_205411\original_predictions.csv,predict_before_observe,first_half,0,147,2014-07-05 06:30:00,2014-07-08 07:30:00,147,200,346,1.2763201261894406,0.6009362330294985,0.6009362330294985,0.49830508474576274
C:\Users\苒苒\Documents\TorF_reproduction\results\fig9_strict\diagnostic_500_20260727_205411\original_predictions.csv,predict_before_observe,second_half,147,295,2014-07-08 08:00:00,2014-07-11 09:30:00,148,347,494,0.8995264897029902,0.4941961503787021,0.4941961503787021,0.5016949152542373
C:\Users\苒苒\Documents\TorF_reproduction\results\fig9_strict\diagnostic_500_20260727_205411\original_predictions.csv,predict_before_observe,block_50_1,0,50,2014-07-05 06:30:00,2014-07-06 07:00:00,50,200,249,1.1386364507750535,0.6210993814261159,0.6210993814261159,0.1694915254237288
C:\Users\苒苒\Documents\TorF_reproduction\results\fig9_strict\diagnostic_500_20260727_205411\original_predictions.csv,predict_before_observe,block_50_2,50,100,2014-07-06 07:30:00,2014-07-07 08:00:00,50,250,299,1.4410191853333885,0.6737611533053702,0.6737611533053702,0.1694915254237288
C:\Users\苒苒\Documents\TorF_reproduction\results\fig9_strict\diagnostic_500_20260727_205411\original_predictions.csv,predict_before_observe,block_50_3,100,150,2014-07-07 08:30:00,2014-07-08 09:00:00,50,300,349,1.1812660442377247,0.48868021649639815,0.48868021649639815,0.1694915254237288
C:\Users\苒苒\Documents\TorF_reproduction\results\fig9_strict\diagnostic_500_20260727_205411\original_predictions.csv,predict_before_observe,block_50_4,150,200,2014-07-08 09:30:00,2014-07-09 10:00:00,50,350,399,0.8861892772197042,0.4988559895731148,0.4988559895731148,0.1694915254237288
C:\Users\苒苒\Documents\TorF_reproduction\results\fig9_strict\diagnostic_500_20260727_205411\original_predictions.csv,predict_before_observe,block_50_5,200,250,2014-07-09 10:30:00,2014-07-10 11:00:00,50,400,449,1.1943330673028811,0.5623455303540017,0.5623455303540017,0.1694915254237288
C:\Users\苒苒\Documents\TorF_reproduction\results\fig9_strict\diagnostic_500_20260727_205411\original_predictions.csv,predict_before_observe,block_100_1,0,100,2014-07-05 06:30:00,2014-07-07 08:00:00,100,200,299,1.2898278180542209,0.6469280827536475,0.6469280827536475,0.3389830508474576
