prediction_index,records_seen,timestamp,anchor_semantics,rolling_window,cumulative_standard_mape,cumulative_repo_metric,cumulative_wape,rolling_standard_mape,rolling_repo_metric,rolling_wape
1,200,2014-07-05 06:30:00,predict_before_observe,25,3.9478664472311236,3.9478664472311236,3.9478664472311236,3.9478664472311236,3.9478664472311236,3.9478664472311236
1,200,2014-07-05 06:30:00,predict_before_observe,50,3.9478664472311236,3.9478664472311236,3.9478664472311236,3.9478664472311236,3.9478664472311236,3.9478664472311236
1,200,2014-07-05 06:30:00,predict_before_observe,100,3.9478664472311236,3.9478664472311236,3.9478664472311236,3.9478664472311236,3.9478664472311236,3.9478664472311236
2,201,2014-07-05 07:00:00,predict_before_observe,25,2.514002607041971,2.4065576234250936,2.4065576234250936,2.514002607041971,2.4065576234250936,2.4065576234250936
2,201,2014-07-05 07:00:00,predict_before_observe,50,2.514002607041971,2.4065576234250936,2.4065576234250936,2.514002607041971,2.4065576234250936,2.4065576234250936
2,201,2014-07-05 07:00:00,predict_before_observe,100,2.514002607041971,2.4065576234250936,2.4065576234250936,2.514002607041971,2.4065576234250936,2.4065576234250936
3,202,2014-07-05 07:30:00,predict_before_observe,25,2.5505683467718048,2.4911673329752424,2.4911673329752424,2.5505683467718048,2.4911673329752424,2.4911673329752424
3,202,2014-07-05 07:30:00,predict_before_observe,50,2.5505683467718048,2.4911673329752424,2.4911673329752424,2.5505683467718048,2.4911673329752424,2.4911673329752424
3,202,2014-07-05 07:30:00,predict_before_observe,100,2.5505683467718048,2.4911673329752424,2.4911673329752424,2.5505683467718048,2.4911673329752424,2.4911673329752424
4,203,2014-07-05 08:00:00,predict_before_observe,25,2.0980868831933424,1.9735170264444566,1.9735170264444566,2.0980868831933424,1.9735170264444566,1.9735170264444566
4,203,2014-07-05 08:00:00,predict_before_observe,50,2.0980868831933424,1.9735170264444566,1.9735170264444566,2.0980868831933424,1.9735170264444566,1.9735170264444566
4,203,2014-07-05 08:00:00,predict_before_observe,100,2.0980868831933424,1.9735170264444566,1.9735170264444566,2.0980868831933424,1.9735170264444566,1.9735170264444566
