artifact,anchor_semantics,window,start_index,end_index_exclusive,n,standard_mape,wape,repo_metric,mae,rmse,median_ape,p90_ape,zero_target_count,standard_mape_ci_low,standard_mape_ci_high,repo_metric_ci_low,repo_metric_ci_high
C:\Users\苒苒\Documents\TorF_reproduction\results\fig9_diagnostics\lmatch_stack_2x2_20260810\250\STRICT_RAW_L4\original_predictions.csv,predict_before_observe,full,0,45,45,0.6914105389498437,0.5054500721931258,0.5054500721931258,6117.024167024167,7231.189744068895,0.5207757174121986,1.5344069580632138,0,0.46044673384907514,0.9157235612221689,0.3947712786967184,0.6249159386084555
C:\Users\苒苒\Documents\TorF_reproduction\results\fig9_diagnostics\lmatch_stack_2x2_20260810\250\STRICT_RAW_L4\original_predictions.csv,predict_before_observe,first_25,0,11,11,1.3146932785371306,0.9774597460643152,0.9774597460643152,7553.631197631198,8771.625192112466,0.8082725353989105,2.623699826231472,0,0.7010774149636521,2.004238273375321,0.5748532006341938,1.5783373264562437
C:\Users\苒苒\Documents\TorF_reproduction\results\fig9_diagnostics\lmatch_stack_2x2_20260810\250\STRICT_RAW_L4\original_predictions.csv,predict_before_observe,second_25,11,22,11,0.3191601259040789,0.32014751340956704,0.32014751340956704,4328.103338103338,5427.599957691447,0.21965776734727338,0.6882155581022018,0,0.18558354380434147,0.4740988621794853,0.18713678069186715,0.47663217597474705
C:\Users\苒苒\Documents\TorF_reproduction\results\fig9_diagnostics\lmatch_stack_2x2_20260810\250\STRICT_RAW_L4\original_predictions.csv,predict_before_observe,third_25,22,33,11,0.3959294154463612,0.3849240814712301,0.3849240814712301,6065.528696528697,6656.033582119535,0.346106061596809,0.5892832806558025,0,0.2786601390349009,0.5076567766266781,0.2713564263193825,0.4970509402407952
C:\Users\苒苒\Documents\TorF_reproduction\results\fig9_diagnostics\lmatch_stack_2x2_20260810\250\STRICT_RAW_L4\original_predictions.csv,predict_before_observe,final_25,33,45,12,0.7321552694983074,0.5659688971695951,0.5659688971695951,6487.1826634326635,7612.059339875408,0.5570948393674081,1.155207891642742,0,0.3827521206000977,1.1885099423518133,0.34425673777859556,0.8747212055940603
C:\Users\苒苒\Documents\TorF_reproduction\results\fig9_diagnostics\lmatch_stack_2x2_20260810\250\STRICT_RAW_L4\original_predictions.csv,predict_before_observe,first_half,0,22,22,0.8169267022206047,0.5592217900917348,0.5592217900917348,5940.867267867267,7293.841573945593,0.48012604151551985,2.0126834280278816,0,0.4620946019135022,1.2511172930791736,0.3675351716246567,0.8082071453195256
C:\Users\苒苒\Documents\TorF_reproduction\results\fig9_diagnostics\lmatch_stack_2x2_20260810\250\STRICT_RAW_L4\original_predictions.csv,predict_before_observe,second_half,22,45,23,0.5713516001691158,0.4650251145876468,0.4650251145876468,6285.522070565549,7170.749709863726,0.5207757174121986,0.7510862791186388,0,0.36668739991548505,0.852508642274459,0.3425603467412926,0.6080563391079706
C:\Users\苒苒\Documents\TorF_reproduction\results\fig9_diagnostics\lmatch_stack_500_completion_20260810_resume2\500\STRICT_RAW_L4\original_predictions.csv,predict_before_observe,full,0,295,295,1.0872846746640348,0.5392795787736315,0.5392795787736315,7469.2616427091,9117.547587386616,0.46157840894683,2.870150071023436,0,0.8787884140558276,1.3081113774916875,0.48754269051710647,0.5944516573993135
C:\Users\苒苒\Documents\TorF_reproduction\results\fig9_diagnostics\lmatch_stack_500_completion_20260810_resume2\500\STRICT_RAW_L4\original_predictions.csv,predict_before_observe,first_25,0,73,73,0.9600334655607813,0.5649846244637381,0.5649846244637381,6534.705040732438,7870.57132604554,0.4674974453890604,2.7799954222484757,0,0.6517459241586453,1.2968813327996078,0.4572591624607451,0.6853298376860208
C:\Users\苒苒\Documents\TorF_reproduction\results\fig9_diagnostics\lmatch_stack_500_completion_20260810_resume2\500\STRICT_RAW_L4\original_predictions.csv,predict_before_observe,second_25,73,147,74,1.58833264275555,0.6353754339683687,0.6353754339683687,7567.913863224674,9382.351748047464,0.4878041527548607,5.027938870044135,0,1.0259443721683774,2.2553666854003698,0.5043613117737927,0.8127246295916942
C:\Users\苒苒\Documents\TorF_reproduction\results\fig9_diagnostics\lmatch_stack_500_completion_20260810_resume2\500\STRICT_RAW_L4\original_predictions.csv,predict_before_observe,third_25,147,221,74,0.7233213210407297,0.4555278036006577,0.4555278036006577,7631.217218257759,9036.41618131144,0.42897319751050467,1.9107456656651678,0,0.5085678370850822,0.9730056455271844,0.384976254302081,0.5367886743346736
C:\Users\苒苒\Documents\TorF_reproduction\results\fig9_diagnostics\lmatch_stack_500_completion_20260810_resume2\500\STRICT_RAW_L4\original_predictions.csv,predict_before_observe,final_25,221,295,74,1.0757316583652503,0.5369790564367073,0.5369790564367073,8130.581305351576,10030.01465590987,0.4818827062597726,2.2118675199072415,0,0.6482871266226188,1.5415775030311396,0.4325581943042901,0.6697431190062364
C:\Users\苒苒\Documents\TorF_reproduction\results\fig9_diagnostics\lmatch_stack_500_completion_20260810_resume2\500\STRICT_RAW_L4\original_predictions.csv,predict_before_observe,first_half,0,147,147,1.2763201261894406,0.6009362330294985,0.6009362330294985,7054.8237677013185,8664.636466367787,0.4798388266916052,3.258920417318891,0,0.9544144434975411,1.6831598412972204,0.5136630764536474,0.7133294878828784
C:\Users\苒苒\Documents\TorF_reproduction\results\fig9_diagnostics\lmatch_stack_500_completion_20260810_resume2\500\STRICT_RAW_L4\original_predictions.csv,predict_before_observe,second_half,147,295,148,0.8995264897029902,0.4941961503787021,0.4941961503787021,7880.899261804667,9546.151355379665,0.4488708323516829,2.2511113569308008,0,0.6827547234562603,1.1670518947307287,0.4339699796058444,0.5685788291995721
C:\Users\苒苒\Documents\TorF_reproduction\results\fig9_diagnostics\lmatch_stack_500_completion_20260810_resume2\500\STRICT_RAW_L4\original_predictions.csv,predict_before_observe,block_50_1,0,50,50,1.1386364507750535,0.6210993814261159,0.6210993814261159,6943.717176517176,8354.34002449352,0.5457822569664891,3.1206201929734863,0,0.7150447321718905,1.6476367061010304,0.47239112254471716,0.8035016501403056
C:\Users\苒苒\Documents\TorF_reproduction\results\fig9_diagnostics\lmatch_stack_500_completion_20260810_resume2\500\STRICT_RAW_L4\original_predictions.csv,predict_before_observe,block_50_2,50,100,50,1.4410191853333885,0.6737611533053702,0.6737611533053702,7250.518948618949,8769.54067006583,0.4438663295430882,3.340218717441125,0,0.8721307638692132,2.212348874413938,0.5169581347399832,0.8986343532517876
C:\Users\苒苒\Documents\TorF_reproduction\results\fig9_diagnostics\lmatch_stack_500_completion_20260810_resume2\500\STRICT_RAW_L4\original_predictions.csv,predict_before_observe,block_50_3,100,150,50,1.1812660442377247,0.48868021649639815,0.48868021649639815,6713.019681219681,8631.644236034928,0.36075988105302514,1.9040077677199632,0,0.5616605176403217,1.9829812661129924,0.36397369769354837,0.6620775548633788
C:\Users\苒苒\Documents\TorF_reproduction\results\fig9_diagnostics\lmatch_stack_500_completion_20260810_resume2\500\STRICT_RAW_L4\original_predictions.csv,predict_before_observe,block_50_4,150,200,50,0.8861892772197042,0.4988559895731148,0.4988559895731148,7702.466181566181,9311.880767931436,0.42508140485767776,2.6738141447811414,0,0.5740691045347113,1.2639834749734675,0.3966668952101984,0.6317591678655675
C:\Users\苒苒\Documents\TorF_reproduction\results\fig9_diagnostics\lmatch_stack_500_completion_20260810_resume2\500\STRICT_RAW_L4\original_predictions.csv,predict_before_observe,block_50_5,200,250,50,1.1943330673028811,0.5623455303540017,0.5623455303540017,8942.958475398475,10835.978404594893,0.47371506132649405,2.484902440359891,0,0.655963996067968,1.8365932163515795,0.43033089506535627,0.7292694784303319
C:\Users\苒苒\Documents\TorF_reproduction\results\fig9_diagnostics\lmatch_stack_500_completion_20260810_resume2\500\STRICT_RAW_L4\original_predictions.csv,predict_before_observe,block_100_1,0,100,100,1.2898278180542209,0.6469280827536475,0.6469280827536475,7097.118062568063,8564.456807316883,0.4944267326435278,3.165302203464354,0,0.9311332081711395,1.7333239133567593,0.5353261531450774,0.7799053639449752
C:\Users\苒苒\Documents\TorF_reproduction\results\fig9_diagnostics\lmatch_stack_500_completion_20260810_resume2\500\STRICT_RAW_L4\original_predictions.csv,predict_before_observe,block_100_2,100,200,100,1.0337276607287145,0.4940651075591594,0.4940651075591594,7207.742931392931,8978.207105364812,0.39321065267259514,2.6738141447811445,0,0.6845633355357063,1.4727355212541715,0.41248275640520243,0.6010995256873127
C:\Users\苒苒\Documents\TorF_reproduction\results\fig9_strict\diagnostic_500_20260727_205411\original_predictions.csv,predict_before_observe,full,0,295,295,1.0872846746640348,0.5392795787736315,0.5392795787736315,7469.2616427091,9117.547587386616,0.46157840894683,2.870150071023436,0,0.8787884140558276,1.3081113774916875,0.48754269051710647,0.5944516573993135
C:\Users\苒苒\Documents\TorF_reproduction\results\fig9_strict\diagnostic_500_20260727_205411\original_predictions.csv,predict_before_observe,first_25,0,73,73,0.9600334655607813,0.5649846244637381,0.5649846244637381,6534.705040732438,7870.57132604554,0.4674974453890604,2.7799954222484757,0,0.6517459241586453,1.2968813327996078,0.4572591624607451,0.6853298376860208
C:\Users\苒苒\Documents\TorF_reproduction\results\fig9_strict\diagnostic_500_20260727_205411\original_predictions.csv,predict_before_observe,second_25,73,147,74,1.58833264275555,0.6353754339683687,0.6353754339683687,7567.913863224674,9382.351748047464,0.4878041527548607,5.027938870044135,0,1.0259443721683774,2.2553666854003698,0.5043613117737927,0.8127246295916942
C:\Users\苒苒\Documents\TorF_reproduction\results\fig9_strict\diagnostic_500_20260727_205411\original_predictions.csv,predict_before_observe,third_25,147,221,74,0.7233213210407297,0.4555278036006577,0.4555278036006577,7631.217218257759,9036.41618131144,0.42897319751050467,1.9107456656651678,0,0.5085678370850822,0.9730056455271844,0.384976254302081,0.5367886743346736
C:\Users\苒苒\Documents\TorF_reproduction\results\fig9_strict\diagnostic_500_20260727_205411\original_predictions.csv,predict_before_observe,final_25,221,295,74,1.0757316583652503,0.5369790564367073,0.5369790564367073,8130.581305351576,10030.01465590987,0.4818827062597726,2.2118675199072415,0,0.6482871266226188,1.5415775030311396,0.4325581943042901,0.6697431190062364
C:\Users\苒苒\Documents\TorF_reproduction\results\fig9_strict\diagnostic_500_20260727_205411\original_predictions.csv,predict_before_observe,first_half,0,147,147,1.2763201261894406,0.6009362330294985,0.6009362330294985,7054.8237677013185,8664.636466367787,0.4798388266916052,3.258920417318891,0,0.9544144434975411,1.6831598412972204,0.5136630764536474,0.7133294878828784
C:\Users\苒苒\Documents\TorF_reproduction\results\fig9_strict\diagnostic_500_20260727_205411\original_predictions.csv,predict_before_observe,second_half,147,295,148,0.8995264897029902,0.4941961503787021,0.4941961503787021,7880.899261804667,9546.151355379665,0.4488708323516829,2.2511113569308008,0,0.6827547234562603,1.1670518947307287,0.4339699796058444,0.5685788291995721
C:\Users\苒苒\Documents\TorF_reproduction\results\fig9_strict\diagnostic_500_20260727_205411\original_predictions.csv,predict_before_observe,block_50_1,0,50,50,1.1386364507750535,0.6210993814261159,0.6210993814261159,6943.717176517176,8354.34002449352,0.5457822569664891,3.1206201929734863,0,0.7150447321718905,1.6476367061010304,0.47239112254471716,0.8035016501403056
C:\Users\苒苒\Documents\TorF_reproduction\results\fig9_strict\diagnostic_500_20260727_205411\original_predictions.csv,predict_before_observe,block_50_2,50,100,50,1.4410191853333885,0.6737611533053702,0.6737611533053702,7250.518948618949,8769.54067006583,0.4438663295430882,3.340218717441125,0,0.8721307638692132,2.212348874413938,0.5169581347399832,0.8986343532517876
C:\Users\苒苒\Documents\TorF_reproduction\results\fig9_strict\diagnostic_500_20260727_205411\original_predictions.csv,predict_before_observe,block_50_3,100,150,50,1.1812660442377247,0.48868021649639815,0.48868021649639815,6713.019681219681,8631.644236034928,0.36075988105302514,1.9040077677199632,0,0.5616605176403217,1.9829812661129924,0.36397369769354837,0.6620775548633788
C:\Users\苒苒\Documents\TorF_reproduction\results\fig9_strict\diagnostic_500_20260727_205411\original_predictions.csv,predict_before_observe,block_50_4,150,200,50,0.8861892772197042,0.4988559895731148,0.4988559895731148,7702.466181566181,9311.880767931436,0.42508140485767776,2.6738141447811414,0,0.5740691045347113,1.2639834749734675,0.3966668952101984,0.6317591678655675
C:\Users\苒苒\Documents\TorF_reproduction\results\fig9_strict\diagnostic_500_20260727_205411\original_predictions.csv,predict_before_observe,block_50_5,200,250,50,1.1943330673028811,0.5623455303540017,0.5623455303540017,8942.958475398475,10835.978404594893,0.47371506132649405,2.484902440359891,0,0.655963996067968,1.8365932163515795,0.43033089506535627,0.7292694784303319
C:\Users\苒苒\Documents\TorF_reproduction\results\fig9_strict\diagnostic_500_20260727_205411\original_predictions.csv,predict_before_observe,block_100_1,0,100,100,1.2898278180542209,0.6469280827536475,0.6469280827536475,7097.118062568063,8564.456807316883,0.4944267326435278,3.165302203464354,0,0.9311332081711395,1.7333239133567593,0.5353261531450774,0.7799053639449752
C:\Users\苒苒\Documents\TorF_reproduction\results\fig9_strict\diagnostic_500_20260727_205411\original_predictions.csv,predict_before_observe,block_100_2,100,200,100,1.0337276607287145,0.4940651075591594,0.4940651075591594,7207.742931392931,8978.207105364812,0.39321065267259514,2.6738141447811445,0,0.6845633355357063,1.4727355212541715,0.41248275640520243,0.6010995256873127
C:\Users\苒苒\Documents\TorF_reproduction\results\fig9_strict\stage_a_250\original_predictions.csv,predict_before_observe,full,0,45,45,0.6914105389498437,0.5054500721931258,0.5054500721931258,6117.024167024167,7231.189744068895,0.5207757174121986,1.5344069580632138,0,0.46044673384907514,0.9157235612221689,0.3947712786967184,0.6249159386084555
C:\Users\苒苒\Documents\TorF_reproduction\results\fig9_strict\stage_a_250\original_predictions.csv,predict_before_observe,first_25,0,11,11,1.3146932785371306,0.9774597460643152,0.9774597460643152,7553.631197631198,8771.625192112466,0.8082725353989105,2.623699826231472,0,0.7010774149636521,2.004238273375321,0.5748532006341938,1.5783373264562437
C:\Users\苒苒\Documents\TorF_reproduction\results\fig9_strict\stage_a_250\original_predictions.csv,predict_before_observe,second_25,11,22,11,0.3191601259040789,0.32014751340956704,0.32014751340956704,4328.103338103338,5427.599957691447,0.21965776734727338,0.6882155581022018,0,0.18558354380434147,0.4740988621794853,0.18713678069186715,0.47663217597474705
C:\Users\苒苒\Documents\TorF_reproduction\results\fig9_strict\stage_a_250\original_predictions.csv,predict_before_observe,third_25,22,33,11,0.3959294154463612,0.3849240814712301,0.3849240814712301,6065.528696528697,6656.033582119535,0.346106061596809,0.5892832806558025,0,0.2786601390349009,0.5076567766266781,0.2713564263193825,0.4970509402407952
C:\Users\苒苒\Documents\TorF_reproduction\results\fig9_strict\stage_a_250\original_predictions.csv,predict_before_observe,final_25,33,45,12,0.7321552694983074,0.5659688971695951,0.5659688971695951,6487.1826634326635,7612.059339875408,0.5570948393674081,1.155207891642742,0,0.3827521206000977,1.1885099423518133,0.34425673777859556,0.8747212055940603
C:\Users\苒苒\Documents\TorF_reproduction\results\fig9_strict\stage_a_250\original_predictions.csv,predict_before_observe,first_half,0,22,22,0.8169267022206047,0.5592217900917348,0.5592217900917348,5940.867267867267,7293.841573945593,0.48012604151551985,2.0126834280278816,0,0.4620946019135022,1.2511172930791736,0.3675351716246567,0.8082071453195256
C:\Users\苒苒\Documents\TorF_reproduction\results\fig9_strict\stage_a_250\original_predictions.csv,predict_before_observe,second_half,22,45,23,0.5713516001691158,0.4650251145876468,0.4650251145876468,6285.522070565549,7170.749709863726,0.5207757174121986,0.7510862791186388,0,0.36668739991548505,0.852508642274459,0.3425603467412926,0.6080563391079706
C:\Users\苒苒\Documents\TorF_reproduction\results\fig9_diagnostics\anchor_parity_abcd_20260813_000500\anchor_parity_predictions.csv,observe_current_then_5,full,0,45,45,0.6507804179497031,0.480441066299207,0.480441066299207,5814.361843161843,6985.733821579445,0.4746969257377894,1.5348680648710928,0,0.46484570532475655,0.8902056368917233,0.3782365651446386,0.6154993549245695
C:\Users\苒苒\Documents\TorF_reproduction\results\fig9_diagnostics\anchor_parity_abcd_20260813_000500\anchor_parity_predictions.csv,observe_current_then_5,first_25,0,11,11,1.273032589984739,0.9512650274949407,0.9512650274949407,7351.203175203175,8861.094972709354,0.8756474452676984,3.058538872720846,0,0.659031844318583,1.9424762589842333,0.5102492377155259,1.5800824739987205
