diagnostic_label,sentences,selection,beam_width,lambda_coherence,lambda_support,burst_analysis,mean_levenshtein,expected_word_presence,early_stop_rate,mean_raw_columns,mean_propagated_columns,mean_cue_burst_cells,correct_provenance_coherent_fraction,wrong_provenance_coherent_fraction,correct_source_coherence,wrong_source_coherence,correct_branch_entropy,wrong_branch_entropy,historical_winner_set_fraction,false_prediction_predicted_supported_fraction,false_prediction_burst_assisted_fraction,false_prediction_burst_only_fraction
nonpaper diagnostic,200,coherent-beam,4,0.25,0.0,none,2.54,0.46,0.515,20.99474605954466,7.844133099824869,31.045,0.6610344827586206,0.4234875444839858,0.7068888676148244,0.610481214391436,0.4384627087382594,0.5513622926219963,0.0840630472854641,0.0,0.0,0.0
nonpaper diagnostic,200,coherent-beam,4,0.5,0.0,none,2.53,0.4625,0.51,20.99650959860384,7.835951134380454,31.045,0.667123287671233,0.4206405693950178,0.7084926646526106,0.6171077976670737,0.4361843713426712,0.5526008216529609,0.0924956369982548,0.0,0.0,0.0
nonpaper diagnostic,200,coherent-beam,4,1.0,0.0,none,2.475,0.47125,0.48,20.73469387755102,7.7687074829931975,31.045,0.6686468646864686,0.4287719298245614,0.7171061395093722,0.6379791855969863,0.4324048359958027,0.5365326482858372,0.10034013605442177,0.0,0.0,0.0
nonpaper diagnostic,200,coherent-beam,8,0.25,0.0,none,2.525,0.46125,0.515,20.989492119089316,7.8458844133099825,31.045,0.6559726962457337,0.4262589928057554,0.6999323556901017,0.6172177798172714,0.4443845586193188,0.5439763569995112,0.0840630472854641,0.0,0.0,0.0
nonpaper diagnostic,200,coherent-beam,8,0.5,0.0,none,2.53,0.4625,0.515,21.055944055944057,7.863636363636363,31.045,0.6691780821917809,0.42214285714285715,0.7149702775770491,0.6198072332309845,0.4300658087344135,0.557130374815734,0.09265734265734266,0.0,0.0,0.0
nonpaper diagnostic,200,coherent-beam,8,1.0,0.0,none,2.515,0.47,0.48,20.789830508474576,7.806779661016949,31.045,0.6735593220338982,0.4396610169491525,0.7204735096679569,0.6530730035855355,0.42911652454038235,0.5358105827246957,0.09830508474576272,0.0,0.0,0.0
