source_path,source_module,source_role,target_path,target_module,target_role,line,import_kind,architecture_flag
experiments/diagnostics/fig8_diagnostic_common.py,experiments.diagnostics.fig8_diagnostic_common,diagnostic,experiments/fig8_sentence_memory.py,experiments.fig8_sentence_memory,experiment,20,from,
experiments/diagnostics/fig8_diagnostic_common.py,experiments.diagnostics.fig8_diagnostic_common,diagnostic,src/seqmem/dynamics.py,seqmem.dynamics,core,21,from,
experiments/diagnostics/fig8_diagnostic_common.py,experiments.diagnostics.fig8_diagnostic_common,diagnostic,src/seqmem/encoding.py,seqmem.encoding,core,26,from,
experiments/diagnostics/fig8_diagnostic_common.py,experiments.diagnostics.fig8_diagnostic_common,diagnostic,src/seqmem/model.py,seqmem.model,core,27,from,
experiments/diagnostics/fig8_false_positive_ablation.py,experiments.diagnostics.fig8_false_positive_ablation,diagnostic,experiments/diagnostics/fig8_diagnostic_common.py,experiments.diagnostics.fig8_diagnostic_common,diagnostic,12,from,
experiments/diagnostics/fig8_false_positive_ablation.py,experiments.diagnostics.fig8_false_positive_ablation,diagnostic,experiments/fig8_sentence_memory.py,experiments.fig8_sentence_memory,experiment,20,from,
experiments/diagnostics/fig8_intralayer_plasticity_parity.py,experiments.diagnostics.fig8_intralayer_plasticity_parity,diagnostic,experiments/diagnostics/fig8_diagnostic_common.py,experiments.diagnostics.fig8_diagnostic_common,diagnostic,15,from,
experiments/diagnostics/fig8_intralayer_plasticity_parity.py,experiments.diagnostics.fig8_intralayer_plasticity_parity,diagnostic,experiments/fig8_sentence_memory.py,experiments.fig8_sentence_memory,experiment,16,from,
experiments/diagnostics/fig8_intralayer_plasticity_parity.py,experiments.diagnostics.fig8_intralayer_plasticity_parity,diagnostic,src/seqmem/model.py,seqmem.model,core,17,from,
experiments/diagnostics/fig8_prediction_competition.py,experiments.diagnostics.fig8_prediction_competition,diagnostic,experiments/diagnostics/fig8_diagnostic_common.py,experiments.diagnostics.fig8_diagnostic_common,diagnostic,17,from,
experiments/diagnostics/fig8_prediction_competition.py,experiments.diagnostics.fig8_prediction_competition,diagnostic,experiments/fig8_sentence_memory.py,experiments.fig8_sentence_memory,experiment,22,from,
experiments/diagnostics/fig8_prediction_competition.py,experiments.diagnostics.fig8_prediction_competition,diagnostic,src/seqmem/encoding.py,seqmem.encoding,core,26,from,
experiments/diagnostics/fig8_prediction_competition.py,experiments.diagnostics.fig8_prediction_competition,diagnostic,src/seqmem/model.py,seqmem.model,core,27,from,
experiments/diagnostics/fig8_response_scale_sweep.py,experiments.diagnostics.fig8_response_scale_sweep,diagnostic,experiments/diagnostics/fig8_diagnostic_common.py,experiments.diagnostics.fig8_diagnostic_common,diagnostic,12,from,
experiments/diagnostics/fig8_response_scale_sweep.py,experiments.diagnostics.fig8_response_scale_sweep,diagnostic,experiments/fig8_sentence_memory.py,experiments.fig8_sentence_memory,experiment,20,from,
