path,directory,size_bytes_recursive,mtime_latest,experiment_family,known_commit,protocol_available,checkpoint,report,raw_prediction,temporary,credibility,regeneration_cost,suggested_future_action
results/fig9_diagnostics/intracolumn_selector_250_20260730_001736,intracolumn_selector_250_20260730_001736,35833644,2026-07-30T00:25:03.086618,Fig9,,True,True,True,True,False,C,HIGH,KEEP_CHECKPOINT
results/fig9_diagnostics/intracolumn_selector_250_20260730_001736/context_then_score_20260730_001736,context_then_score_20260730_001736,35832102,2026-07-30T00:25:03.086618,Fig9,,True,True,True,True,False,C,HIGH,KEEP_CHECKPOINT
results/fig9_diagnostics/intracolumn_selector_250_20260730_001736/context_then_score_20260730_001736/run,run,35823913,2026-07-30T00:24:01.711834,Fig9,,True,True,False,True,False,C,HIGH,KEEP_CHECKPOINT
results/fig9_diagnostics/intracolumn_selector_250_20260730_003129,intracolumn_selector_250_20260730_003129,32368134,2026-07-30T00:38:31.038163,Fig9,,True,True,True,True,False,C,HIGH,KEEP_CHECKPOINT
results/fig9_diagnostics/intracolumn_selector_250_20260730_003129/existing_20260730_003129,existing_20260730_003129,32366696,2026-07-30T00:38:21.980315,Fig9,,True,True,True,True,False,C,HIGH,KEEP_CHECKPOINT
results/fig9_diagnostics/intracolumn_selector_250_20260730_003129/existing_20260730_003129/run,run,32363228,2026-07-30T00:38:21.198613,Fig9,,True,True,False,True,False,C,HIGH,KEEP_CHECKPOINT
results/fig9_diagnostics/intracolumn_selector_250_20260730_084000,intracolumn_selector_250_20260730_084000,43202013,2026-07-30T08:50:41.330301,Fig9,,True,True,True,True,False,C,HIGH,KEEP_CHECKPOINT
results/fig9_diagnostics/intracolumn_selector_250_20260730_084000/max_candidate_score_20260730_084000,max_candidate_score_20260730_084000,36735218,2026-07-30T08:49:13.971512,Fig9,,True,True,True,True,False,C,HIGH,KEEP_CHECKPOINT
results/fig9_diagnostics/intracolumn_selector_250_20260730_084000/max_candidate_score_20260730_084000/run,run,36731563,2026-07-30T08:49:13.087583,Fig9,,True,True,False,True,False,C,HIGH,KEEP_CHECKPOINT
results/fig9_diagnostics/intracolumn_selector_250_20260730_084000/max_response_peak_20260730_084914,max_response_peak_20260730_084914,6466795,2026-07-30T08:50:41.330301,Fig9,,False,True,False,False,False,C,HIGH,KEEP_CHECKPOINT
results/fig9_diagnostics/intracolumn_selector_250_20260730_084000/max_response_peak_20260730_084914/run,run,6466795,2026-07-30T08:50:41.330301,Fig9,,False,True,False,False,False,C,HIGH,KEEP_CHECKPOINT
results/fig9_diagnostics/intracolumn_selector_250_20260730_104139,intracolumn_selector_250_20260730_104139,36891120,2026-07-30T10:52:07.318142,Fig9,,True,True,True,True,False,C,HIGH,KEEP_CHECKPOINT
results/fig9_diagnostics/intracolumn_selector_250_20260730_104139/max_response_peak_20260730_104139,max_response_peak_20260730_104139,36889592,2026-07-30T10:51:51.907094,Fig9,,True,True,True,True,False,C,HIGH,KEEP_CHECKPOINT
results/fig9_diagnostics/intracolumn_selector_250_20260730_104139/max_response_peak_20260730_104139/run,run,36885937,2026-07-30T10:51:50.956622,Fig9,,True,True,False,True,False,C,HIGH,KEEP_CHECKPOINT
results/fig9_diagnostics/intracolumn_selector_250_20260730_113501,intracolumn_selector_250_20260730_113501,6466795,2026-07-30T11:36:45.522043,Fig9,,False,True,False,False,False,C,HIGH,KEEP_CHECKPOINT
results/fig9_diagnostics/intracolumn_selector_250_20260730_113501/max_contributor_count_20260730_113501,max_contributor_count_20260730_113501,6466795,2026-07-30T11:36:45.522043,Fig9,,False,True,False,False,False,C,HIGH,KEEP_CHECKPOINT
results/fig9_diagnostics/intracolumn_selector_250_20260730_113501/max_contributor_count_20260730_113501/run,run,6466795,2026-07-30T11:36:45.522043,Fig9,,False,True,False,False,False,C,HIGH,KEEP_CHECKPOINT
results/fig9_diagnostics/intracolumn_selector_250_20260730_114222,intracolumn_selector_250_20260730_114222,6466795,2026-07-30T11:43:53.108790,Fig9,,False,True,False,False,False,C,HIGH,KEEP_CHECKPOINT
results/fig9_diagnostics/intracolumn_selector_250_20260730_114222/max_contributor_count_20260730_114222,max_contributor_count_20260730_114222,6466795,2026-07-30T11:43:53.108790,Fig9,,False,True,False,False,False,C,HIGH,KEEP_CHECKPOINT
results/fig9_diagnostics/intracolumn_selector_250_20260730_114222/max_contributor_count_20260730_114222/run,run,6466795,2026-07-30T11:43:53.108790,Fig9,,False,True,False,False,False,C,HIGH,KEEP_CHECKPOINT
results/fig9_diagnostics/intracolumn_selector_250_20260730_115442,intracolumn_selector_250_20260730_115442,37266976,2026-07-30T12:03:17.174880,Fig9,,True,True,True,True,False,C,HIGH,KEEP_CHECKPOINT
results/fig9_diagnostics/intracolumn_selector_250_20260730_115442/max_contributor_count_20260730_115442,max_contributor_count_20260730_115442,37265432,2026-07-30T12:03:07.256122,Fig9,,True,True,True,True,False,C,HIGH,KEEP_CHECKPOINT
results/fig9_diagnostics/intracolumn_selector_250_20260730_115442/max_contributor_count_20260730_115442/run,run,37261780,2026-07-30T12:03:06.382938,Fig9,,True,True,False,True,False,C,HIGH,KEEP_CHECKPOINT
results/fig9_diagnostics/intracolumn_selector_50_20260729_codex,intracolumn_selector_50_20260729_codex,11182333,2026-07-29T23:45:41.264333,Fig9,,True,False,True,True,False,C,MEDIUM,KEEP_REPORT
results/fig9_diagnostics/intracolumn_selector_50_20260729_codex/context_then_score,context_then_score,2165788,2026-07-29T23:45:41.264333,Fig9,,True,False,True,True,False,C,MEDIUM,KEEP_REPORT
results/fig9_diagnostics/intracolumn_selector_50_20260729_codex/existing,existing,2372741,2026-07-29T23:45:40.813485,Fig9,,True,False,True,True,False,C,MEDIUM,KEEP_REPORT
results/fig9_diagnostics/intracolumn_selector_50_20260729_codex/max_candidate_score,max_candidate_score,2340580,2026-07-29T23:45:40.929720,Fig9,,True,False,True,True,False,C,MEDIUM,KEEP_REPORT
results/fig9_diagnostics/intracolumn_selector_50_20260729_codex/max_contributor_count,max_contributor_count,2090223,2026-07-29T23:45:41.153871,Fig9,,True,False,True,True,False,C,MEDIUM,KEEP_REPORT
results/fig9_diagnostics/intracolumn_selector_50_20260729_codex/max_response_peak,max_response_peak,2213001,2026-07-29T23:45:41.038173,Fig9,,True,False,True,True,False,C,MEDIUM,KEEP_REPORT
results/fig9_diagnostics/intracolumn_selector_50_final2_20260729_codex,intracolumn_selector_50_final2_20260729_codex,55438725,2026-07-30T00:09:43.144328,Fig9,,True,False,True,True,False,C,MEDIUM,KEEP_REPORT
results/fig9_diagnostics/intracolumn_selector_50_final2_20260729_codex/context_then_score,context_then_score,11108663,2026-07-30T00:09:43.144328,Fig9,,True,False,True,True,False,C,MEDIUM,KEEP_REPORT
results/fig9_diagnostics/intracolumn_selector_50_final2_20260729_codex/existing,existing,10409572,2026-07-30T00:09:41.468445,Fig9,,True,False,True,True,False,C,MEDIUM,KEEP_REPORT
results/fig9_diagnostics/intracolumn_selector_50_final2_20260729_codex/max_candidate_score,max_candidate_score,11176747,2026-07-30T00:09:41.892917,Fig9,,True,False,True,True,False,C,MEDIUM,KEEP_REPORT
