field,record_range,context_variant,columns,mean_best_overlap,mean_passing_segments_L1,ambiguous_segment_rate_L1,ambiguous_neuron_rate_L1,selected_compatibility_rate_L1,mean_passing_segments_L2,ambiguous_segment_rate_L2,ambiguous_neuron_rate_L2,selected_compatibility_rate_L2,mean_passing_segments_L3,ambiguous_segment_rate_L3,ambiguous_neuron_rate_L3,selected_compatibility_rate_L3,mean_passing_segments_L4,ambiguous_segment_rate_L4,ambiguous_neuron_rate_L4,selected_compatibility_rate_L4
passenger,0-49,ALL_CELL_CURRENT,253,2.399209486166008,0.4901185770750988,0.07509881422924901,0.07509881422924901,0.23715415019762845,0.2924901185770751,0.011857707509881422,0.011857707509881422,0.23715415019762845,0.2450592885375494,0.007905138339920948,0.007905138339920948,0.233201581027668,0.233201581027668,0.003952569169960474,0.003952569169960474,0.22924901185770752
passenger,0-49,BURST_ONLY,253,2.3952569169960474,0.4901185770750988,0.07509881422924901,0.07509881422924901,0.23715415019762845,0.2924901185770751,0.011857707509881422,0.011857707509881422,0.23715415019762845,0.24110671936758893,0.007905138339920948,0.007905138339920948,0.22924901185770752,0.233201581027668,0.003952569169960474,0.003952569169960474,0.22924901185770752
passenger,0-49,CROSS_FIELD_ONLY,253,2.2371541501976284,0.4189723320158103,0.04743083003952569,0.04743083003952569,0.233201581027668,0.22924901185770752,0.0,0.0,0.22529644268774704,0.22924901185770752,0.0,0.0,0.22529644268774704,0.22134387351778656,0.0,0.0,0.22134387351778656
passenger,0-49,PREDICTED_ONLY,253,0.003952569169960474,0.003952569169960474,0.0,0.0,0.003952569169960474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
passenger,0-49,PREDICTED_PLUS_WINNER,253,2.007905138339921,0.20948616600790515,0.0,0.0,0.20553359683794467,0.19367588932806323,0.0,0.0,0.19367588932806323,0.19367588932806323,0.0,0.0,0.19367588932806323,0.19367588932806323,0.0,0.0,0.19367588932806323
passenger,0-49,SAME_FIELD_ONLY,253,0.20948616600790515,0.13438735177865613,0.011857707509881422,0.011857707509881422,0.02766798418972332,0.02766798418972332,0.0,0.0,0.011857707509881422,0.019762845849802372,0.0,0.0,0.011857707509881422,0.015810276679841896,0.0,0.0,0.011857707509881422
passenger,0-49,WINNER_ONLY,253,2.007905138339921,0.20948616600790515,0.0,0.0,0.20553359683794467,0.19367588932806323,0.0,0.0,0.19367588932806323,0.19367588932806323,0.0,0.0,0.19367588932806323,0.19367588932806323,0.0,0.0,0.19367588932806323
passenger,0-49,WITHOUT_BURST_ONLY,253,2.007905138339921,0.20948616600790515,0.0,0.0,0.20553359683794467,0.19367588932806323,0.0,0.0,0.19367588932806323,0.19367588932806323,0.0,0.0,0.19367588932806323,0.19367588932806323,0.0,0.0,0.19367588932806323
passenger,100-149,ALL_CELL_CURRENT,480,2.4375,1.5854166666666667,0.45,0.45,0.23333333333333334,0.525,0.10208333333333333,0.10208333333333333,0.22083333333333333,0.35208333333333336,0.058333333333333334,0.058333333333333334,0.21458333333333332,0.24791666666666667,0.0375,0.0375,0.19583333333333333
passenger,100-149,BURST_ONLY,480,2.3208333333333333,1.49375,0.425,0.425,0.23333333333333334,0.49166666666666664,0.09375,0.09375,0.21666666666666667,0.33958333333333335,0.05416666666666667,0.05416666666666667,0.20833333333333334,0.24791666666666667,0.0375,0.0375,0.19583333333333333
passenger,100-149,CROSS_FIELD_ONLY,480,2.125,1.325,0.3854166666666667,0.3854166666666667,0.20625,0.375,0.058333333333333334,0.058333333333333334,0.18958333333333333,0.26666666666666666,0.03958333333333333,0.03958333333333333,0.18541666666666667,0.18958333333333333,0.0125,0.0125,0.17291666666666666
passenger,100-149,PREDICTED_ONLY,480,0.20208333333333334,0.22708333333333333,0.027083333333333334,0.027083333333333334,0.09583333333333334,0.004166666666666667,0.0,0.0,0.004166666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
passenger,100-149,PREDICTED_PLUS_WINNER,480,1.6916666666666667,0.8479166666666667,0.21041666666666667,0.21041666666666667,0.19583333333333333,0.16875,0.00625,0.00625,0.15208333333333332,0.14791666666666667,0.004166666666666667,0.004166666666666667,0.1375,0.14375,0.0020833333333333333,0.0020833333333333333,0.13541666666666666
passenger,100-149,SAME_FIELD_ONLY,480,0.5708333333333333,0.40625,0.10416666666666667,0.10416666666666667,0.08541666666666667,0.10625,0.016666666666666666,0.016666666666666666,0.0375,0.08125,0.014583333333333334,0.014583333333333334,0.03125,0.03125,0.0,0.0,0.025
passenger,100-149,WINNER_ONLY,480,1.6916666666666667,0.8479166666666667,0.21041666666666667,0.21041666666666667,0.19583333333333333,0.16875,0.00625,0.00625,0.15208333333333332,0.14791666666666667,0.004166666666666667,0.004166666666666667,0.1375,0.14375,0.0020833333333333333,0.0020833333333333333,0.13541666666666666
passenger,100-149,WITHOUT_BURST_ONLY,480,1.6916666666666667,0.8479166666666667,0.21041666666666667,0.21041666666666667,0.19583333333333333,0.16875,0.00625,0.00625,0.15208333333333332,0.14791666666666667,0.004166666666666667,0.004166666666666667,0.1375,0.14375,0.0020833333333333333,0.0020833333333333333,0.13541666666666666
passenger,150-199,ALL_CELL_CURRENT,488,1.9938524590163935,1.2131147540983607,0.3442622950819672,0.3442622950819672,0.17418032786885246,0.32991803278688525,0.036885245901639344,0.036885245901639344,0.1680327868852459,0.20901639344262296,0.020491803278688523,0.020491803278688523,0.16598360655737704,0.17008196721311475,0.00819672131147541,0.00819672131147541,0.1598360655737705
passenger,150-199,BURST_ONLY,488,1.7315573770491803,1.1188524590163935,0.305327868852459,0.305327868852459,0.17418032786885246,0.3094262295081967,0.03278688524590164,0.03278688524590164,0.1680327868852459,0.20901639344262296,0.020491803278688523,0.020491803278688523,0.16598360655737704,0.1680327868852459,0.00819672131147541,0.00819672131147541,0.15778688524590165
