field,record_range,observe_scenario,segment_row_count,denominator_scope,segment_synapse_count_mean,segment_actual_overlap_mean,weekday_source_ratio_all_segment_synapses,time_source_ratio_all_segment_synapses,passenger_source_ratio_all_segment_synapses
passenger,0-49,scenario1,41,all_preexisting_segment_rows_for_field_x_range_x_scenario,30.804878048780488,3.6341463414634148,0.3246239113222486,0.334916864608076,0.3404592240696754
passenger,0-49,scenario2,121,all_preexisting_segment_rows_for_field_x_range_x_scenario,32.85950413223141,3.487603305785124,0.30432595573440646,0.341046277665996,0.3546277665995976
passenger,0-49,scenario3,308,all_preexisting_segment_rows_for_field_x_range_x_scenario,30.928571428571427,0.20454545454545456,0.3233256351039261,0.3344530757925677,0.3422212891035062
passenger,100-149,scenario1,214,all_preexisting_segment_rows_for_field_x_range_x_scenario,34.242990654205606,1.1869158878504673,0.3052674672489083,0.3407478165938865,0.3539847161572052
passenger,100-149,scenario2,512,all_preexisting_segment_rows_for_field_x_range_x_scenario,37.6796875,1.8671875,0.28581795562927637,0.34584283640887414,0.3683392079618495
passenger,100-149,scenario3,1554,all_preexisting_segment_rows_for_field_x_range_x_scenario,33.8024453024453,0.34427284427284427,0.3090673723086295,0.3393554036817758,0.3515772240095947
passenger,150-199,scenario1,162,all_preexisting_segment_rows_for_field_x_range_x_scenario,32.53703703703704,1.2160493827160495,0.3230885979889964,0.33352305065452476,0.3433883513564788
passenger,150-199,scenario2,415,all_preexisting_segment_rows_for_field_x_range_x_scenario,33.257831325301204,1.4120481927710844,0.32219968120562237,0.3337922040284017,0.3440081147659759
passenger,150-199,scenario3,1951,all_preexisting_segment_rows_for_field_x_range_x_scenario,32.34495130702204,0.2496155817529472,0.32301719356627845,0.33455352190793125,0.34242928452579036
passenger,200-244,scenario1,285,all_preexisting_segment_rows_for_field_x_range_x_scenario,34.487719298245615,0.9192982456140351,0.31030623664665785,0.33991250381524063,0.3497812595381015
passenger,200-244,scenario2,782,all_preexisting_segment_rows_for_field_x_range_x_scenario,34.071611253196934,1.3427109974424551,0.3160186158234499,0.3373367362257919,0.34664464795075817
passenger,200-244,scenario3,2437,all_preexisting_segment_rows_for_field_x_range_x_scenario,33.093557652851864,0.2814936397209684,0.3183796451288919,0.33744993738298057,0.34417041748812754
passenger,50-99,scenario1,127,all_preexisting_segment_rows_for_field_x_range_x_scenario,35.826771653543304,2.125984251968504,0.2896703296703297,0.3415384615384615,0.3687912087912088
passenger,50-99,scenario2,362,all_preexisting_segment_rows_for_field_x_range_x_scenario,36.767955801104975,2.0801104972375692,0.28339594290007514,0.34515401953418484,0.37145003756574
passenger,50-99,scenario3,967,all_preexisting_segment_rows_for_field_x_range_x_scenario,33.055842812823165,0.3940020682523268,0.30871265446582197,0.33924605036758954,0.35204129516658844
time,0-49,scenario1,188,all_preexisting_segment_rows_for_field_x_range_x_scenario,32.952127659574465,2.2393617021276597,0.30928167877320417,0.3439870863599677,0.3467312348668281
time,0-49,scenario2,435,all_preexisting_segment_rows_for_field_x_range_x_scenario,33.701149425287355,2.7586206896551726,0.2985675306957708,0.3486357435197817,0.3527967257844475
time,0-49,scenario3,743,all_preexisting_segment_rows_for_field_x_range_x_scenario,31.884253028263796,0.6514131897711979,0.3147741663149008,0.34132545377796536,0.3439003799071338
time,100-149,scenario1,593,all_preexisting_segment_rows_for_field_x_range_x_scenario,63.66947723440135,2.681281618887015,0.30050852844580994,0.24674223964403008,0.45274923191016
time,100-149,scenario2,2267,all_preexisting_segment_rows_for_field_x_range_x_scenario,62.27128363475959,3.251874724305249,0.30107884875574664,0.24923318858956287,0.44968796265469047
time,100-149,scenario3,17,all_preexisting_segment_rows_for_field_x_range_x_scenario,55.411764705882355,1.3529411764705883,0.3237791932059448,0.2494692144373673,0.4267515923566879
time,150-199,scenario1,619,all_preexisting_segment_rows_for_field_x_range_x_scenario,81.89660743134087,2.7722132471728593,0.3054799384542549,0.20175957707026473,0.4927604844754803
time,150-199,scenario2,2258,all_preexisting_segment_rows_for_field_x_range_x_scenario,80.17139061116032,3.339238263950399,0.3029106155435377,0.20570964552249113,0.4913797389339712
time,150-199,scenario3,16,all_preexisting_segment_rows_for_field_x_range_x_scenario,82.625,0.75,0.3101361573373676,0.19969742813918306,0.49016641452344933
time,200-244,scenario1,599,all_preexisting_segment_rows_for_field_x_range_x_scenario,95.63939899833055,2.7746243739565943,0.3076385979611786,0.1763021924312247,0.5160592096075967
time,200-244,scenario2,2035,all_preexisting_segment_rows_for_field_x_range_x_scenario,95.33071253071253,3.4914004914004915,0.30670419282673017,0.17740904545407685,0.515886761719193
time,50-99,scenario1,812,all_preexisting_segment_rows_for_field_x_range_x_scenario,44.12931034482759,2.1945812807881775,0.2972957887980353,0.3104400971171825,0.3922641140847822
time,50-99,scenario2,1912,all_preexisting_segment_rows_for_field_x_range_x_scenario,45.32322175732217,2.8948744769874475,0.2937409125527937,0.3118234900413118,0.39443559740589446
time,50-99,scenario3,87,all_preexisting_segment_rows_for_field_x_range_x_scenario,41.6551724137931,0.6666666666666666,0.30022075055187636,0.3170529801324503,0.3827262693156733
