sentence_index,cycle,word,target_column,target_time,candidate_class,pre_gate_candidate_count,pre_gate_candidate_neuron_ids,pre_gate_candidate_segment_identities,pre_gate_candidate_times,pre_gate_candidate_scores,pre_gate_candidate_depolarization_states,pre_gate_candidate_time_gate_passed,pre_gate_timing_tolerance,predicted_sstd_rank,actual_sstd_rank,same_sstd_rank,nearest_candidate_neuron,nearest_candidate_segment,nearest_candidate_time,delta_t_signed,delta_t_abs,timing_rejected,scenario,selected_learning_neuron,selected_learning_segment,candidate_punished,candidate_punishment_reason,prediction_event_count,prediction_column_count
18,2,I,11,0.3333333333333333,NO_PREDICTIVE_CANDIDATE,0,[],[],[],[],[],[],0.03,,7,,,,,,,False,scenario3,8,1651573723152,False,,0,0
18,2,I,68,0.3888888888888889,NO_PREDICTIVE_CANDIDATE,0,[],[],[],[],[],[],0.03,,8,,,,,,,False,scenario3,4,1651573724112,False,,0,0
18,2,I,88,0.4444444444444444,NO_PREDICTIVE_CANDIDATE,0,[],[],[],[],[],[],0.03,,9,,,,,,,False,scenario3,6,1651573728432,False,,0,0
18,2,I,81,0.5,NO_PREDICTIVE_CANDIDATE,0,[],[],[],[],[],[],0.03,,10,,,,,,,False,scenario3,9,1651573726032,False,,0,0
18,3,never,1,0.0,UNIQUE_PREDICTIVE_CANDIDATE,1,[9],[1651486503040],[0.5064172363281143],[1.4050248317028662],"[""PREDICTIVE_CANDIDATE_WITH_SOMA_TIME""]",[false],0.03,25,1,False,9,1651486503040,0.5064172363281143,0.5064172363281143,0.5064172363281143,True,scenario3,5,1651574399744,True,PROXIMAL_TIME_MISMATCH,32,32
18,3,never,60,0.05555555555555555,UNIQUE_PREDICTIVE_CANDIDATE,1,[0],[1651569699552],[0.004999999999999893],[1.4915337916166307],"[""PREDICTIVE_CANDIDATE_WITH_SOMA_TIME""]",[false],0.03,1,2,False,0,1651569699552,0.004999999999999893,-0.05055555555555566,0.05055555555555566,True,scenario3,8,1651574402720,True,PROXIMAL_TIME_MISMATCH,32,32
18,3,never,47,0.1111111111111111,NO_PREDICTIVE_CANDIDATE,0,[],[],[],[],[],[],0.03,,3,,,,,,,False,scenario3,9,1651574404880,False,,32,32
18,3,never,57,0.16666666666666666,UNIQUE_PREDICTIVE_CANDIDATE,1,[2],[1651486496992],[0.1730839029947917],[1.4050248317028662],"[""PREDICTIVE_CANDIDATE_WITH_SOMA_TIME""]",[true],0.03,21,4,False,2,1651486496992,0.1730839029947917,0.006417236328125048,0.006417236328125048,False,scenario1,2,1651486496992,False,,32,32
18,3,never,31,0.2222222222222222,NO_PREDICTIVE_CANDIDATE,0,[],[],[],[],[],[],0.03,,5,,,,,,,False,scenario3,8,1651574405120,False,,32,32
18,3,never,91,0.2777777777777778,NO_PREDICTIVE_CANDIDATE,0,[],[],[],[],[],[],0.03,,6,,,,,,,False,scenario3,8,1651574407136,False,,32,32
18,3,never,53,0.3333333333333333,UNIQUE_PREDICTIVE_CANDIDATE,1,[5],[1651569689040],[0.22818901909722222],[1.4915337916166307],"[""PREDICTIVE_CANDIDATE_WITH_SOMA_TIME""]",[false],0.03,5,7,False,5,1651569689040,0.22818901909722222,-0.10514431423611109,0.10514431423611109,True,scenario3,9,1651573991344,True,PROXIMAL_TIME_MISMATCH,32,32
18,3,never,77,0.3888888888888889,UNIQUE_PREDICTIVE_CANDIDATE,1,[9],[1651549335584],[0.5061145019531141],[1.4617031157842983],"[""PREDICTIVE_CANDIDATE_WITH_SOMA_TIME""]",[false],0.03,32,8,False,9,1651549335584,0.5061145019531141,0.11722561306422524,0.11722561306422524,True,scenario3,8,1651573988320,True,PROXIMAL_TIME_MISMATCH,32,32
18,3,never,20,0.4444444444444444,UNIQUE_PREDICTIVE_CANDIDATE,1,[4],[1651549620368],[0.22833672417534734],[1.4617031157842983],"[""PREDICTIVE_CANDIDATE_WITH_SOMA_TIME""]",[false],0.03,15,9,False,4,1651549620368,0.22833672417534734,-0.21610772026909708,0.21610772026909708,True,scenario3,9,1651574169024,True,PROXIMAL_TIME_MISMATCH,32,32
18,3,never,98,0.5,NO_PREDICTIVE_CANDIDATE,0,[],[],[],[],[],[],0.03,,10,,,,,,,False,scenario3,7,1651574171472,False,,32,32
18,4,be,89,0.0,NO_PREDICTIVE_CANDIDATE,0,[],[],[],[],[],[],0.03,,1,,,,,,,False,scenario3,3,1651573727520,False,,0,0
18,4,be,99,0.05555555555555555,NO_PREDICTIVE_CANDIDATE,0,[],[],[],[],[],[],0.03,,2,,,,,,,False,scenario3,7,1651573728960,False,,0,0
18,4,be,2,0.1111111111111111,NO_PREDICTIVE_CANDIDATE,0,[],[],[],[],[],[],0.03,,3,,,,,,,False,scenario3,4,1651573729920,False,,0,0
18,4,be,4,0.16666666666666666,NO_PREDICTIVE_CANDIDATE,0,[],[],[],[],[],[],0.03,,4,,,,,,,False,scenario3,6,1651573730880,False,,0,0
18,4,be,24,0.2222222222222222,NO_PREDICTIVE_CANDIDATE,0,[],[],[],[],[],[],0.03,,5,,,,,,,False,scenario3,8,1651573732272,False,,0,0
18,4,be,19,0.2777777777777778,NO_PREDICTIVE_CANDIDATE,0,[],[],[],[],[],[],0.03,,6,,,,,,,False,scenario3,5,1651574175888,False,,0,0
18,4,be,29,0.3333333333333333,NO_PREDICTIVE_CANDIDATE,0,[],[],[],[],[],[],0.03,,7,,,,,,,False,scenario3,3,1651574174688,False,,0,0
18,4,be,1,0.3888888888888889,NO_PREDICTIVE_CANDIDATE,0,[],[],[],[],[],[],0.03,,8,,,,,,,False,scenario3,3,1651574173152,False,,0,0
18,4,be,87,0.4444444444444444,NO_PREDICTIVE_CANDIDATE,0,[],[],[],[],[],[],0.03,,9,,,,,,,False,scenario3,6,1651574172144,False,,0,0
18,4,be,36,0.5,NO_PREDICTIVE_CANDIDATE,0,[],[],[],[],[],[],0.03,,10,,,,,,,False,scenario3,6,1651574171376,False,,0,0
18,5,able,41,0.0,UNIQUE_PREDICTIVE_CANDIDATE,1,[0],[1651549196832],[0.004999999999999893],[1.4915337916166307],"[""PREDICTIVE_CANDIDATE_WITH_SOMA_TIME""]",[true],0.03,1,1,True,0,1651549196832,0.004999999999999893,0.004999999999999893,0.004999999999999893,False,scenario1,0,1651549196832,False,,10,10
18,5,able,18,0.05555555555555555,NO_PREDICTIVE_CANDIDATE,0,[],[],[],[],[],[],0.03,,2,,,,,,,False,scenario3,5,1651574499200,False,,10,10
18,5,able,33,0.1111111111111111,NO_PREDICTIVE_CANDIDATE,0,[],[],[],[],[],[],0.03,,3,,,,,,,False,scenario3,7,1651574497904,False,,10,10
18,5,able,66,0.16666666666666666,NO_PREDICTIVE_CANDIDATE,0,[],[],[],[],[],[],0.03,,4,,,,,,,False,scenario3,5,1651574497184,False,,10,10
18,5,able,16,0.2222222222222222,NO_PREDICTIVE_CANDIDATE,0,[],[],[],[],[],[],0.03,,5,,,,,,,False,scenario3,5,1651574495888,False,,10,10
18,5,able,81,0.2777777777777778,NO_PREDICTIVE_CANDIDATE,0,[],[],[],[],[],[],0.03,,6,,,,,,,False,scenario3,0,1651574495168,False,,10,10
18,5,able,94,0.3333333333333333,NO_PREDICTIVE_CANDIDATE,0,[],[],[],[],[],[],0.03,,7,,,,,,,False,scenario3,2,1651574493872,False,,10,10
18,5,able,79,0.3888888888888889,UNIQUE_PREDICTIVE_CANDIDATE,1,[5],[1651549192752],[0.22818901909722222],[1.4915337916166307],"[""PREDICTIVE_CANDIDATE_WITH_SOMA_TIME""]",[false],0.03,5,8,False,5,1651549192752,0.22818901909722222,-0.16069986979166667,0.16069986979166667,True,scenario3,8,1651574492768,True,PROXIMAL_TIME_MISMATCH,10,10
18,5,able,34,0.4444444444444444,NO_PREDICTIVE_CANDIDATE,0,[],[],[],[],[],[],0.03,,9,,,,,,,False,scenario3,6,1651574491712,False,,10,10
18,5,able,68,0.5,NO_PREDICTIVE_CANDIDATE,0,[],[],[],[],[],[],0.03,,10,,,,,,,False,scenario3,5,1651574490416,False,,10,10
18,6,to,60,0.0,NO_PREDICTIVE_CANDIDATE,0,[],[],[],[],[],[],0.03,,1,,,,,,,False,scenario3,2,1651574400032,False,,1,1
18,6,to,48,0.05555555555555555,NO_PREDICTIVE_CANDIDATE,0,[],[],[],[],[],[],0.03,,2,,,,,,,False,scenario3,9,1651574391440,False,,1,1
18,6,to,90,0.1111111111111111,NO_PREDICTIVE_CANDIDATE,0,[],[],[],[],[],[],0.03,,3,,,,,,,False,scenario3,2,1651574398208,False,,1,1
18,6,to,50,0.16666666666666666,NO_PREDICTIVE_CANDIDATE,0,[],[],[],[],[],[],0.03,,4,,,,,,,False,scenario3,2,1651574396384,False,,1,1
18,6,to,53,0.2222222222222222,NO_PREDICTIVE_CANDIDATE,0,[],[],[],[],[],[],0.03,,5,,,,,,,False,scenario3,5,1651574396912,False,,1,1
18,6,to,9,0.2777777777777778,NO_PREDICTIVE_CANDIDATE,0,[],[],[],[],[],[],0.03,,6,,,,,,,False,scenario3,0,1651574393984,False,,1,1
18,6,to,72,0.3333333333333333,NO_PREDICTIVE_CANDIDATE,0,[],[],[],[],[],[],0.03,,7,,,,,,,False,scenario3,3,1651574392256,False,,1,1
18,6,to,80,0.3888888888888889,UNIQUE_PREDICTIVE_CANDIDATE,1,[2],[1651549625216],[0.1836991373697916],[1.0820431485756947],"[""PREDICTIVE_CANDIDATE_WITH_SOMA_TIME""]",[false],0.03,1,8,False,2,1651549625216,0.1836991373697916,-0.2051897515190973,0.2051897515190973,True,scenario3,0,1651574392400,True,PROXIMAL_TIME_MISMATCH,1,1
18,6,to,25,0.4444444444444444,NO_PREDICTIVE_CANDIDATE,0,[],[],[],[],[],[],0.03,,9,,,,,,,False,scenario3,8,1651574489600,False,,1,1
18,6,to,99,0.5,NO_PREDICTIVE_CANDIDATE,0,[],[],[],[],[],[],0.03,,10,,,,,,,False,scenario3,0,1651574501504,False,,1,1
18,7,get,6,0.0,NO_PREDICTIVE_CANDIDATE,0,[],[],[],[],[],[],0.03,,1,,,,,,,False,scenario3,0,1651574316240,False,,19,19
18,7,get,19,0.05555555555555555,NO_PREDICTIVE_CANDIDATE,0,[],[],[],[],[],[],0.03,,2,,,,,,,False,scenario3,0,1651574315520,False,,19,19
18,7,get,73,0.1111111111111111,NO_PREDICTIVE_CANDIDATE,0,[],[],[],[],[],[],0.03,,3,,,,,,,False,scenario3,7,1651574314224,False,,19,19
18,7,get,98,0.16666666666666666,NO_PREDICTIVE_CANDIDATE,0,[],[],[],[],[],[],0.03,,4,,,,,,,False,scenario3,5,1651574313504,False,,19,19
18,7,get,22,0.2222222222222222,UNIQUE_PREDICTIVE_CANDIDATE,1,[0],[1651574202032],[0.17263346354166664],[1.4915337916166307],"[""PREDICTIVE_CANDIDATE_WITH_SOMA_TIME""]",[false],0.03,4,5,False,0,1651574202032,0.17263346354166664,-0.04958875868055557,0.04958875868055557,True,scenario3,7,1651574311824,True,PROXIMAL_TIME_MISMATCH,19,19
18,7,get,0,0.2777777777777778,NO_PREDICTIVE_CANDIDATE,0,[],[],[],[],[],[],0.03,,6,,,,,,,False,scenario3,2,1651574311104,False,,19,19
18,7,get,26,0.3333333333333333,NO_PREDICTIVE_CANDIDATE,0,[],[],[],[],[],[],0.03,,7,,,,,,,False,scenario3,8,1651574309808,False,,19,19
18,7,get,16,0.3888888888888889,NO_PREDICTIVE_CANDIDATE,0,[],[],[],[],[],[],0.03,,8,,,,,,,False,scenario3,4,1651574308992,False,,19,19
18,7,get,10,0.4444444444444444,NO_PREDICTIVE_CANDIDATE,0,[],[],[],[],[],[],0.03,,9,,,,,,,False,scenario3,6,1651574520816,False,,19,19
