response_scale,tau_m,tau_s,unscaled_kernel_peak,kernel_peak,single_w0_peak_contribution,min_initial_synapses_to_threshold,diagnostic_label,propagation_mode,sentences,mean_levenshtein,step1_error,step2_error,step3_error,step4_error,expected_absent_rate,expected_present_raw,expected_present_after_inhibition,mean_raw_events,mean_propagated_events,mean_raw_columns,p50_raw_columns,p90_raw_columns,p99_raw_columns,mean_active_cells,mean_ranked_candidate_count,mean_burst_cells_after_cue,two_contributor_crossing_fraction,three_contributor_crossing_fraction,four_plus_contributor_fraction,average_threshold_margin,proportion_columns_with_prediction,no_prediction_rate,early_stop_rate,burst_density_correlation,word_frequency_density_correlation,runtime_seconds,peak_cache_size,scenario1_events,scenario1_two_contributor_fraction,scenario1_mean_weight_before,scenario1_mean_weight_after,scenario1_mean_reinforcement_number
normalized,0.1,0.02,0.5349922439811376,1.0,0.5,2,nonpaper diagnostic,raw,20,0.4,0.05,0.0,0.15,0.2,0.025,0.975,0.975,15.7125,15.7125,15.7125,10.0,32.10000000000001,45.41999999999999,15.7125,13.4875,13.09,0.07716785998408911,0.10342084327764518,0.8194112967382657,2.6543576370727373,0.15712500000000001,0.0,0.0,0.3683641961674718,0.2504461000155014,7.980660600005649,16611,61.0,0.13114754098360656,0.4902295081967213,0.5282622950819672,1.0
normalized,0.1,0.02,0.5349922439811376,1.0,0.5,2,nonpaper diagnostic,eventwise-inhibited,20,0.3,0.05,0.05,0.1,0.1,0.05,0.95,0.95,11.975,9.65,11.975,10.0,18.10000000000001,34.889999999999944,9.65,13.2625,13.09,0.08768267223382047,0.07933194154488518,0.8329853862212944,2.938902931334578,0.11975,0.0,0.0,0.3683641961674718,0.2504461000155014,7.985744500008877,17189,61.0,0.13114754098360656,0.4902295081967213,0.5282622950819672,1.0
