field,record_range,observe_scenario,source_synapse_rows,denominator_scope,exact_source_match_count,exact_source_match_rate,source_column_active_rate,exact_neuron_active_rate,source_column_active_wrong_neuron_count,source_column_active_wrong_neuron_rate,source_column_inactive_count,source_column_inactive_rate,burst_only_availability_rate,predicted_only_availability_rate,timing_eligibility_exclusion_rate,unavailable_rate,unknown_count,unknown_rate
passenger,0-49,scenario1,1063,pre_observation_existing_segment_source_synapse_rows,129,0.1213546566321731,0.4393226716839135,0.4355597365945437,4,0.0037629350893697085,596,0.5606773283160865,0.0,0.0,0.3142050799623706,0.0,0,0.0
passenger,0-49,scenario2,3216,pre_observation_existing_segment_source_synapse_rows,351,0.10914179104477612,0.4832089552238806,0.4797885572139303,11,0.003420398009950249,1662,0.5167910447761194,0.0,0.0,0.3706467661691542,0.0,0,0.0
passenger,0-49,scenario3,8926,pre_observation_existing_segment_source_synapse_rows,63,0.007058032713421466,0.516916872059153,0.5026887743670178,127,0.014228097692135335,4312,0.48308312794084696,0.0,0.0,0.4956307416535962,0.0,0,0.0
time,0-49,scenario1,4622,pre_observation_existing_segment_source_synapse_rows,321,0.06945045434876677,0.6185633924707918,0.6010385114668975,81,0.01752488100389442,1763,0.38143660752920816,0.0,0.0,0.5315880571181307,0.0,0,0.0
time,0-49,scenario2,11510,pre_observation_existing_segment_source_synapse_rows,958,0.08323197219808862,0.530755864465682,0.51876629018245,138,0.011989574283231972,5401,0.469244135534318,0.0,0.0,0.43553431798436143,0.0,0,0.0
time,0-49,scenario3,20108,pre_observation_existing_segment_source_synapse_rows,409,0.020340163119156554,0.5696240302367217,0.5518699025263577,357,0.017754127710364033,8654,0.4303759697632783,0.0,0.0,0.5315297394072012,0.0,0,0.0
weekday,0-49,scenario2,160780,pre_observation_existing_segment_source_synapse_rows,9140,0.056847866650080854,0.14634904838910312,0.13981838537131483,1050,0.006530663017788282,137250,0.8536509516108969,0.0,0.0,0.08297051872123398,0.0,0,0.0
