sentence_index,word_index,target_word,column,neuron,segment_index,candidate_score,response_peak,crossing_time,soma_firing_time,threshold_crossed,valid_firing_time,event_winner,column_winner,prediction_candidate,selected_by_current_path,selection_key
1,7,would,7,1,0,,,,,False,False,False,False,False,False,candidate_or_later
1,7,would,4,7,0,,,,,False,False,False,False,False,False,candidate_or_later
1,7,would,24,5,0,,,,,False,False,False,False,False,False,candidate_or_later
1,7,would,30,0,0,,,,,False,False,False,False,False,False,candidate_or_later
1,7,would,76,9,0,,,,,False,False,False,False,False,False,candidate_or_later
1,7,would,3,5,0,,,,,False,False,False,False,False,False,candidate_or_later
1,7,would,99,8,0,,,,,False,False,False,False,False,False,candidate_or_later
1,7,would,59,8,0,,,,,False,False,False,False,False,False,candidate_or_later
1,8,want,84,8,0,,,,,False,False,False,False,False,False,candidate_or_later
1,8,want,10,2,0,,,,,False,False,False,False,False,False,candidate_or_later
1,8,want,58,3,0,,,,,False,False,False,False,False,False,candidate_or_later
1,8,want,83,3,0,,,,,False,False,False,False,False,False,candidate_or_later
1,8,want,35,3,0,,,,,False,False,False,False,False,False,candidate_or_later
1,8,want,52,9,0,,,,,False,False,False,False,False,False,candidate_or_later
1,8,want,70,6,0,,,,,False,False,False,False,False,False,candidate_or_later
1,8,want,90,9,0,,,,,False,False,False,False,False,False,candidate_or_later
1,8,want,32,8,0,,,,,False,False,False,False,False,False,candidate_or_later
1,8,want,40,2,0,,,,,False,False,False,False,False,False,candidate_or_later
1,8,want,78,8,0,,,,,False,False,False,False,False,False,candidate_or_later
1,8,want,23,6,0,,,,,False,False,False,False,False,False,candidate_or_later
1,8,want,12,0,0,,,,,False,False,False,False,False,False,candidate_or_later
1,8,want,57,1,0,,,,,False,False,False,False,False,False,candidate_or_later
1,8,want,38,0,0,,,,,False,False,False,False,False,False,candidate_or_later
1,8,want,18,8,0,,,,,False,False,False,False,False,False,candidate_or_later
1,8,want,11,1,0,,,,,False,False,False,False,False,False,candidate_or_later
1,8,want,68,2,0,,,,,False,False,False,False,False,False,candidate_or_later
1,8,want,88,3,0,,,,,False,False,False,False,False,False,candidate_or_later
1,8,want,81,4,0,,,,,False,False,False,False,False,False,candidate_or_later
1,8,want,41,2,0,,0.5125869978225178,,,False,False,False,False,False,False,candidate_or_later
